Suburb,Address,Rooms,Type,Price,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longitude,Regionname,Propertycount,geom,geom_suburb,suburb area
Abbotsford,85 Turner St,2,h,1480000.0,Biggin,3/12/2016,2.5,3067.0,2.0,1.0,1.0,202.0,-37.7996,144.9984,Northern Metropolitan,4019.0,POINT (144.9984 -37.7996),Yarra - North,0.0013635085488200602
Abbotsford,25 Bloomburg St,2,h,1035000.0,Biggin,4/02/2016,2.5,3067.0,2.0,1.0,0.0,156.0,-37.8079,144.9934,Northern Metropolitan,4019.0,POINT (144.9934 -37.8079),Yarra - North,0.0013635085488200602
Abbotsford,5 Charles St,3,h,1465000.0,Biggin,4/03/2017,2.5,3067.0,3.0,2.0,0.0,134.0,-37.8093,144.9944,Northern Metropolitan,4019.0,POINT (144.9944 -37.8093),Yarra - North,0.0013635085488200602
Abbotsford,40 Federation La,3,h,850000.0,Biggin,4/03/2017,2.5,3067.0,3.0,2.0,1.0,94.0,-37.7969,144.9969,Northern Metropolitan,4019.0,POINT (144.9969 -37.7969),Yarra - North,0.0013635085488200602
Abbotsford,55a Park St,4,h,1600000.0,Nelson,4/06/2016,2.5,3067.0,3.0,1.0,2.0,120.0,-37.8072,144.9941,Northern Metropolitan,4019.0,POINT (144.9941 -37.8072),Yarra - North,0.0013635085488200602
Abbotsford,129 Charles St,2,h,941000.0,Jellis,7/05/2016,2.5,3067.0,2.0,1.0,0.0,181.0,-37.8041,144.9953,Northern Metropolitan,4019.0,POINT (144.9953 -37.8041),Yarra - North,0.0013635085488200602
Abbotsford,124 Yarra St,3,h,1876000.0,Nelson,7/05/2016,2.5,3067.0,4.0,2.0,0.0,245.0,-37.8024,144.9993,Northern Metropolitan,4019.0,POINT (144.9993 -37.8024),Yarra - North,0.0013635085488200602
Abbotsford,98 Charles St,2,h,1636000.0,Nelson,8/10/2016,2.5,3067.0,2.0,1.0,2.0,256.0,-37.806,144.9954,Northern Metropolitan,4019.0,POINT (144.9954 -37.806),Yarra - North,0.0013635085488200602
Abbotsford,6/241 Nicholson St,1,u,300000.0,Biggin,8/10/2016,2.5,3067.0,1.0,1.0,1.0,0.0,-37.8008,144.9973,Northern Metropolitan,4019.0,POINT (144.9973 -37.8008),Yarra - North,0.0013635085488200602
Abbotsford,10 Valiant St,2,h,1097000.0,Biggin,8/10/2016,2.5,3067.0,3.0,1.0,2.0,220.0,-37.801,144.9989,Northern Metropolitan,4019.0,POINT (144.9989 -37.801),Yarra - North,0.0013635085488200602
Abbotsford,411/8 Grosvenor St,2,u,700000.0,Jellis,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,-37.811,145.0067,Northern Metropolitan,4019.0,POINT (145.0067 -37.811),Yarra - North,0.0013635085488200602
Abbotsford,40 Nicholson St,3,h,1350000.0,Nelson,12/11/2016,2.5,3067.0,3.0,2.0,2.0,214.0,-37.8085,144.9964,Northern Metropolitan,4019.0,POINT (144.9964 -37.8085),Yarra - North,0.0013635085488200602
Abbotsford,123/56 Nicholson St,2,u,750000.0,Biggin,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,-37.8078,144.9965,Northern Metropolitan,4019.0,POINT (144.9965 -37.8078),Yarra - North,0.0013635085488200602
Abbotsford,45 William St,2,h,1172500.0,Biggin,13/08/2016,2.5,3067.0,2.0,1.0,1.0,195.0,-37.8084,144.9973,Northern Metropolitan,4019.0,POINT (144.9973 -37.8084),Yarra - North,0.0013635085488200602
Abbotsford,7/20 Abbotsford St,1,u,441000.0,Greg,14/05/2016,2.5,3067.0,1.0,1.0,1.0,0.0,-37.8016,144.9988,Northern Metropolitan,4019.0,POINT (144.9988 -37.8016),Yarra - North,0.0013635085488200602
Abbotsford,16 William St,2,h,1310000.0,Jellis,15/10/2016,2.5,3067.0,2.0,1.0,2.0,238.0,-37.809,144.9976,Northern Metropolitan,4019.0,POINT (144.9976 -37.809),Yarra - North,0.0013635085488200602
Abbotsford,42 Henry St,3,h,1200000.0,Jellis,16/07/2016,2.5,3067.0,3.0,2.0,1.0,113.0,-37.8056,144.993,Northern Metropolitan,4019.0,POINT (144.993 -37.8056),Yarra - North,0.0013635085488200602
Abbotsford,78 Yarra St,3,h,1176500.0,LITTLE,16/07/2016,2.5,3067.0,2.0,1.0,1.0,138.0,-37.8021,144.9965,Northern Metropolitan,4019.0,POINT (144.9965 -37.8021),Yarra - North,0.0013635085488200602
Abbotsford,196 Nicholson St,3,h,955000.0,Collins,17/09/2016,2.5,3067.0,3.0,1.0,0.0,183.0,-37.8022,144.9975,Northern Metropolitan,4019.0,POINT (144.9975 -37.8022),Yarra - North,0.0013635085488200602
Abbotsford,42 Valiant St,2,h,890000.0,Biggin,17/09/2016,2.5,3067.0,2.0,1.0,1.0,150.0,-37.8011,145.0004,Northern Metropolitan,4019.0,POINT (145.0004 -37.8011),Yarra - North,0.0013635085488200602
Abbotsford,3/72 Charles St,4,h,1330000.0,Kay,18/03/2017,2.5,3067.0,4.0,2.0,2.0,780.0,-37.8073,144.9952,Northern Metropolitan,4019.0,POINT (144.9952 -37.8073),Yarra - North,0.0013635085488200602
Abbotsford,13/11 Nicholson St,3,t,900000.0,Beller,18/03/2017,2.5,3067.0,3.0,2.0,2.0,0.0,-37.8093,144.9959,Northern Metropolitan,4019.0,POINT (144.9959 -37.8093),Yarra - North,0.0013635085488200602
Abbotsford,138/56 Nicholson St,3,u,1090000.0,Jellis,18/03/2017,2.5,3067.0,3.0,2.0,2.0,4290.0,-37.8078,144.9965,Northern Metropolitan,4019.0,POINT (144.9965 -37.8078),Yarra - North,0.0013635085488200602
Abbotsford,6/219 Nicholson St,2,u,500000.0,Collins,18/06/2016,2.5,3067.0,2.0,1.0,1.0,0.0,-37.8015,144.9972,Northern Metropolitan,4019.0,POINT (144.9972 -37.8015),Yarra - North,0.0013635085488200602
Abbotsford,52a William St,2,h,1100000.0,Biggin,18/06/2016,2.5,3067.0,2.0,2.0,1.0,124.0,-37.8079,144.9977,Northern Metropolitan,4019.0,POINT (144.9977 -37.8079),Yarra - North,0.0013635085488200602
Abbotsford,49 Park St,2,h,1315000.0,Marshall,19/11/2016,2.5,3067.0,2.0,1.0,0.0,147.0,-37.808,144.994,Northern Metropolitan,4019.0,POINT (144.994 -37.808),Yarra - North,0.0013635085488200602
Abbotsford,5/20 Abbotsford St,1,u,426000.0,Greg,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,-37.8016,144.9988,Northern Metropolitan,4019.0,POINT (144.9988 -37.8016),Yarra - North,0.0013635085488200602
Abbotsford,48 Abbotsford St,3,h,1447500.0,Nelson,22/08/2016,2.5,3067.0,3.0,3.0,1.0,166.0,-37.8017,145.0001,Northern Metropolitan,4019.0,POINT (145.0001 -37.8017),Yarra - North,0.0013635085488200602
Abbotsford,116/56 Nicholson St,1,u,457000.0,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,-37.8078,144.9965,Northern Metropolitan,4019.0,POINT (144.9965 -37.8078),Yarra - North,0.0013635085488200602
Abbotsford,159 Park St,2,h,1135000.0,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,2.0,98.0,-37.8005,144.9952,Northern Metropolitan,4019.0,POINT (144.9952 -37.8005),Yarra - North,0.0013635085488200602
Abbotsford,31 Turner St,4,h,1542000.0,Collins,24/09/2016,2.5,3067.0,4.0,3.0,1.0,0.0,-37.7994,144.9965,Northern Metropolitan,4019.0,POINT (144.9965 -37.7994),Yarra - North,0.0013635085488200602
Abbotsford,166 Gipps St,3,h,1290000.0,Biggin,25/02/2017,2.5,3067.0,3.0,2.0,2.0,147.0,-37.805,144.9943,Northern Metropolitan,4019.0,POINT (144.9943 -37.805),Yarra - North,0.0013635085488200602
Abbotsford,60 Stafford St,3,h,1290000.0,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,-37.8007,144.9958,Northern Metropolitan,4019.0,POINT (144.9958 -37.8007),Yarra - North,0.0013635085488200602
Abbotsford,11/205 Gipps St,1,u,470000.0,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,1.0,0.0,-37.8055,144.9961,Northern Metropolitan,4019.0,POINT (144.9961 -37.8055),Yarra - North,0.0013635085488200602
Abbotsford,47 Studley St,2,h,1180000.0,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,0.0,162.0,-37.8016,144.9956,Northern Metropolitan,4019.0,POINT (144.9956 -37.8016),Yarra - North,0.0013635085488200602
Abbotsford,45 Yarra St,3,h,1195000.0,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,-37.8022,144.9954,Northern Metropolitan,4019.0,POINT (144.9954 -37.8022),Yarra - North,0.0013635085488200602
Abbotsford,200 Nicholson St,2,h,1012500.0,Nelson,28/05/2016,2.5,3067.0,2.0,1.0,0.0,182.0,-37.8021,144.9976,Northern Metropolitan,4019.0,POINT (144.9976 -37.8021),Yarra - North,0.0013635085488200602
Abbotsford,27 Charles St,2,h,1030000.0,Biggin,30/07/2016,2.5,3067.0,2.0,1.0,1.0,172.0,-37.8086,144.9946,Northern Metropolitan,4019.0,POINT (144.9946 -37.8086),Yarra - North,0.0013635085488200602
Airport West,154 Halsey Rd,3,t,840000.0,Nelson,3/09/2016,13.5,3042.0,3.0,2.0,1.0,303.0,-37.718,144.878,Western Metropolitan,3464.0,POINT (144.878 -37.718),Moonee Valley - West,0.002319174353032621
Airport West,50 Bedford St,3,h,730000.0,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,-37.7203,144.8755,Western Metropolitan,3464.0,POINT (144.8755 -37.7203),Moonee Valley - West,0.002319174353032621
Airport West,50 Bedford St,3,h,770000.0,Nelson,4/03/2017,13.5,3042.0,3.0,2.0,1.0,0.0,-37.7203,144.8755,Western Metropolitan,3464.0,POINT (144.8755 -37.7203),Moonee Valley - West,0.002319174353032621
Airport West,23 Hart St,2,h,603000.0,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,1.0,272.0,-37.7294,144.888,Western Metropolitan,3464.0,POINT (144.888 -37.7294),Moonee Valley - West,0.002319174353032621
Airport West,1/80 Hawker St,3,t,700000.0,Brad,4/03/2017,13.5,3042.0,3.0,2.0,2.0,239.0,-37.7218,144.8837,Western Metropolitan,3464.0,POINT (144.8837 -37.7218),Moonee Valley - West,0.002319174353032621
Airport West,1/37 Hillside Gr,3,h,600000.0,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,-37.7273,144.8744,Western Metropolitan,3464.0,POINT (144.8744 -37.7273),Moonee Valley - West,0.002319174353032621
Airport West,2/49 McIntosh St,2,u,500000.0,Barry,4/03/2017,13.5,3042.0,2.0,1.0,1.0,168.0,-37.7215,144.8864,Western Metropolitan,3464.0,POINT (144.8864 -37.7215),Moonee Valley - West,0.002319174353032621
Airport West,54 Marshall Rd,3,h,720000.0,Barry,6/08/2016,13.5,3042.0,2.0,1.0,1.0,620.0,-37.7173,144.8872,Western Metropolitan,3464.0,POINT (144.8872 -37.7173),Moonee Valley - West,0.002319174353032621
Airport West,36 Roberts Rd,4,h,785000.0,Considine,6/08/2016,13.5,3042.0,3.0,1.0,2.0,597.0,-37.7259,144.8792,Western Metropolitan,3464.0,POINT (144.8792 -37.7259),Moonee Valley - West,0.002319174353032621
