Licence Num,Licensee,Trading As,Category,Trading Hours,After 11 pm,Suburb,Latitude,Longitude,Postal Address,Postal Suburb,Postal Postcode,Council,Region,Metro/Regional,Gaming,geom,geom_suburb
36144543,EARP PTY LTD,SAKEBOX,Limited Licence,Limited licence,Bottle shop,HAWTHORN EAST,-37.82509854,145.05722708,U 1 847 BURWOOD ROAD,HAWTHORN EAST,3123,BOROONDARA CITY COUNCIL,Metro East,Metro,N,POINT (145.05722708 -37.82509854),Boroondara  - Hawthorn
36144585,VUE GROUP PTY LTD,VUE DE MONDE,Limited Licence,Limited licence,Bottle shop,MELBOURNE,-37.8183819,144.95731083,"LEVEL 6, RIALTO NORTH TOWER 525 COLLINS STREET",MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.95731083 -37.8183819),Melbourne - Inner
36144624,BOD RUM TRADING HOUSE PTY LTD,FAT JAKS,Limited Licence,Limited licence,Bottle shop,ST KILDA,-37.869759,144.98051999999998,205 BARKLY ST,ST KILDA,3182,PORT PHILLIP CITY COUNCIL,Metro South,Metro,N,POINT (144.98052 -37.869759),Port Phillip - St Kilda
36144721,MADSOUTH PTY LTD,PAIL & COOPER,Limited Licence,Limited licence,Bottle shop,RESERVOIR,-37.726157,145.01243,4 MCCARTEN ST,RESERVOIR,3073,DAREBIN CITY COUNCIL,Metro North,Metro,N,POINT (145.01243 -37.726157),Darebin - Preston
36144747,ASCOT VALE SUPERULES FOOTBALL CLUB INC,ASCOT VALE SUPERULES FOOTBALL CLUB,Limited Licence,Limited licence,Bottle shop,ASCOT VALE,-37.775366999999996,144.90811399999998,PO BOX 368,ASCOT VALE,3032,MOONEE VALLEY CITY COUNCIL,Metro West,Metro,N,POINT (144.908114 -37.775367),Moonee Valley - Essendon
36144755,THE GREEN OLIVE AT RED HILL PTY LTD,GREEN OLIVE AT RED HILL,Limited Licence,Limited licence,Bottle shop,MELBOURNE,-37.81639434,144.96550426,SHOP 11 CENTRE WAY ARCADE 259-263 COLLINS ST,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.96550426 -37.81639434),Melbourne - Inner
36144878,SAINT MONICA PTY LTD,SAINT MONICA,Limited Licence,Limited licence,Bottle shop,CARLTON,-37.794662,144.974663,118 STATION STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.974663 -37.794662),Port Phillip - West
36144886,THE OVEN TWIST PTY LTD,THE OVEN TWIST,Limited Licence,Limited licence,Bottle shop,RINGWOOD,-37.812240100000004,145.23535975,LOT 2 RINGWOOD LAKES CENTRE 293-305 MAROONDAH HIGHWAY,RINGWOOD,3134,MAROONDAH CITY COUNCIL,Metro East,Metro,N,POINT (145.23535975 -37.8122401),Maroondah - Ringwood
36145078,RUIZ MESA ANDRES,LA BODEGA DE ANDRES,Limited Licence,Limited licence,Bottle shop,FITZROY,-37.79634103,144.9785994,361 BRUNSWICK RD,BRUNSWICK,3056,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (144.9785994 -37.79634103),Yarra - North
36145109,THE CATEGORY LAB PTY LTD,MON VIN,Limited Licence,Limited licence,Bottle shop,RICHMOND,-37.8263726,145.01151661,90 BENDIGO STREET,RICHMOND,3121,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (145.01151661 -37.8263726),Yarra - Richmond
36145298,LA TROBE UNIVERSITY FOOTBALL CLUB INC,LA TROBE UNIVERSITY FOOTBALL INC,Limited Licence,Limited licence,Bottle shop,BUNDOORA,-37.71681976,145.04359436,"C/- LA TROBE UNIVERSITY SPORTS CENTRE LA TROBE UNIVERSITY, PLENTY ROAD",BUNDOORA,3086,DAREBIN CITY COUNCIL,Metro North,Metro,N,POINT (145.04359436 -37.71681976),Darebin - Preston
36145361,OMEGA GLOBAL TRADING CO PTY LTD,BONZER WINES,Limited Licence,Limited licence,Bottle shop,HEATHERTON,-37.95979645,145.08361339,18 SOUTAR PL,HEATHERTON,3202,KINGSTON CITY COUNCIL,Metro South,Metro,N,POINT (145.08361339 -37.95979645),Kingston - North
36145395,JASON COLEMAN'S MINISTRY OF DANCE PTY LTD,JASON COLEMAN'S MINISTRY OF DANCE,Limited Licence,Limited licence,Bottle shop,NORTH MELBOURNE,-37.79187741,144.93797813,"LEVEL 1, 64-90 SUTTON STREET",NORTH MELBOURNE,3051,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.93797813 -37.79187741),Moonee Valley - Essendon
36145484,HELLENIC REPUBLIC RESTAURANT AND BAR (KEW) PTY LTD,HELLENIC REPUBLIC - KEW,Limited Licence,Limited licence,Bottle shop,KEW,-37.80709148,145.03135569999998,"LEVEL 2, 6 PALMER PARADE",CREMONRNE,3121,BOROONDARA CITY COUNCIL,Metro East,Metro,N,POINT (145.0313557 -37.80709148),Boroondara  - Kew
36145492,JG (RICHMOND) PTY LTD,JIMMY GRANTS,Limited Licence,Limited licence,Bottle shop,RICHMOND,-37.82608824,144.99807584,"LEVEL 2, 6 PALMER PARADE",CREMORNE,3121,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (144.99807584 -37.82608824),Yarra - Richmond
36145523,JG (ORMOND) PTY LTD,JIMMY GRANTS,Limited Licence,Limited licence,Bottle shop,ORMOND,-37.90423,145.040278,"LEVEL 2, 6 PALMER PARADE",CREMORNE,3121,GLEN EIRA CITY COUNCIL,Metro South,Metro,N,POINT (145.040278 -37.90423),Glen Eira - South
36145646,THE MEATBALL COMPANY AUSTRALIA PTY LTD,MR BURGER,Limited Licence,Limited licence,Bottle shop,FITZROY,-37.79766217,144.97878363,"LEVEL 16, 414 LA TROBE STREET",MELBOURNE,3000,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (144.97878363 -37.79766217),Yarra - North
36145670,DEALS4SPORT PTY LTD,WINE FOR SPORT,Limited Licence,Limited licence,Bottle shop,HAMPTON,-37.929854999999996,144.99565800000002,PO BOX 1003,HAMPTON NORTH,3188,BAYSIDE CITY COUNCIL,Metro South,Metro,N,POINT (144.995658 -37.929855),Bayside  - South
36145688,MATTEO'S RESTAURANT PTY LTD,MATTEO'S RESTAURANT,Limited Licence,Limited licence,Bottle shop,FITZROY NORTH,-37.79116741,144.97947163,533 BRUNSWICK ST,FITZROY NORTH,3068,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (144.97947163 -37.79116741),Yarra - North
36145727,RUPPRA PTY LTD,TANDOORI POINT,Limited Licence,Limited licence,Bottle shop,ELWOOD,-37.886127,144.989135,157 ORMOND ROAD,ELWOOD,3184,PORT PHILLIP CITY COUNCIL,Metro South,Metro,N,POINT (144.989135 -37.886127),Port Phillip - St Kilda
36145743,OLUCKY PTY LTD,BEN BEN DUMPLING KITCHEN,Limited Licence,Limited licence,Bottle shop,PRESTON,-37.75114557,145.00272725,U 4 50 PLENTY RD,PRESTON,3072,DAREBIN CITY COUNCIL,Metro North,Metro,N,POINT (145.00272725 -37.75114557),Darebin - Preston
36145777,VINO DI DINO PTY LTD,VINO DI DINO PTY LTD,Limited Licence,Limited licence,Bottle shop,MARIBYRNONG,-37.769984,144.888239,PO BOX 147,HIGHPOINT CITY,3032,MARIBYRNONG CITY COUNCIL,Metro West,Metro,N,POINT (144.888239 -37.769984),Maribyrnong
